fax_number,one_time_acct,address,name,name_2,city,title,express_station,train_station,location_no__1,location_no__2,authorization,industry,data_line,unloading_pts,billing_block,fiscal_address,working_times,alternat_payer,corporate_group,account_group,customer_class,location_code,nielsen_id,district,po_box,po_box_pcode,regional_market,equalizatn_tax,liable_for_vat,telebox,telephone_2,teletex,telex,competitors,sales_partner,prospect,cust_type_4,default_sp,legal_status,industry_code_1,industry_code_2,industry_code_3,industry_code_4,industry_code_5,initial_contact,annual_sales,sales_year,currency,employee,year,natural_person,UMSA1,fi_year_variant,usage,by_customer,after_delivery,ref_acct_group,p_o_box_city,plant,dme_indicator,instruction_key,status_of_transfer,hier_assignment,payment_block,lab_cust__group,non_milit__use,military_use,alt_payer_doc_,tax_type,tax_number_type,tax_number_3,tax_number_4,icms_exempt,ipi_exempt,subtrib_group,cfop_category,icms_law,ipi_law,biochem_warfare,nucl_nonprolif,natl_security,missile_techn,sales_block,url,rep_s_name,type_of_business,type_of_industry,confirm_status,confirm_date,confirm_time,deletion_block,consumer,max__stack_hght,pkm_length_unit,customerrelated,pkm_of_custom,no_layers_inpal,material_spec,pack_pcktype,side_preference,f_b_preference,collunloadpoint,agency_loc_cd,payment_office,processor_group,slaprepr_proced,PSON1,PSON2,name_3,first_name,PSOTL,house_number,street,description,PSOO2,PSOO3,PSOO4,PSOO5,company_code,sales_organization,distribution_channel,division
999999990,,2122,"ZZZZZZZZZZ,ZZ",,ZZZZZZ,,,,8480012,0,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1567,"ZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1744,"ZZZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZZZZZZZZZ,,,,8431236,0,,,,,,,,,,1,,,Z1,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999099,,1786,"ZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZ,,,,8481067,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2540,"ZZZZ,ZZ",,ZZZZZZZZ,ZZZZZZZ,,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1574,"ZZZZZZZZZZZZZZ,ZZ",,ZZZZZZ,,,,8431966,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,1573,ZZZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZZZZZZZZZ,,,,8428499,0,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1787,"ZZZZZZZZZZ,ZZ",,ZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999909,,1569,"ZZZZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZ,,,,8430522,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2535,"ZZZZZZZZZZZZZZ,ZZZZZZZ",,ZZZZZZZZZZZ,ZZZZZ,,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999990999,,1729,ZZZZZZZZZZZ,,ZZZZZZZZ,,,,8427960,167,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999009,,1678,"ZZZZZZZ,ZZ",,ZZZZZZZZZZZZZZZZZZZZ,,,,8425228,0,,,,,,,,,,1,,,Z0,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2203,"ZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999099,,2146,"ZZZZZZZZZZZZ,ZZZZZ",,ZZZZZZZZ,,,,8480024,523,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2083,ZZZZZZZZZZZZZZZZZZ,,ZZZZZZ,,,,8427960,0,,,,,,,,,,1,,,ZZ,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,1719,"ZZZZZZZZZZZ,ZZZZZZ",,ZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2231,ZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZZZZZZZZZZZZZZ,,,,8430576,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2296,"ZZZZZZZZZZZZZZZZZZZ,Z",,ZZZZZZZZZZZZZZZZZZ,,,,8428106,0,,,,,,,,,,1,,,Z1,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2051,"ZZZZZZZZZZZZZ,ZZZZZZZ",,ZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,2052,"ZZZZZZZZZZZZZZZZ,ZZZ",,ZZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2081,ZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2094,"ZZZZZZZZZZZ,ZZZZZ",,ZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,1566,"ZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZZZZZZZZZZ,,,,8430575,0,,,,,,,,,,1,,,Z5,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2169,"ZZZZZZZZZZZZZZZZ,ZZZZ",,ZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2057,"ZZZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z5,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999090,,1654,"ZZZZZZZ,ZZ",,ZZZZZZZZZZZ,,,,8480004,0,,,,,,,,,,1,,,Z1,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1778,ZZZZZZ,,ZZZZZZ,,,,8429194,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,1983,ZZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,1625,"ZZZZZZ,ZZ",,ZZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2053,"ZZZZZZZZZZZZZZZZZZZZZ,",,ZZZZZZZZZZ,,,,8430490,25,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,2216,"ZZZZZ,ZZ",,ZZZZZZZZZZZZZ,,,,8431970,0,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
